tweet_text,images,target,anotasi
"🌻 : ""Teh, gimana udah jadian?"" 💚 : ""Sama kang daniel? Belum"" 🌻 : ""Klo sama kang mark? ea"" 💚 : ""Belum juga"" 🌻 : ""Iih dasar cabe cabean"" 💚 : 🔪 🌻 : ""BERCANDA TEH"" .. .. .. .. .. 🌻 : ""kasian bgt lee jeno di friendzone in doang"" 💚 : 🔪🔪🔪🔪 🌻 : ""AMPUN TEEEEH"" https://t.co/ey5Ci9gqDP",1186325610798256128_2.jpg,wanita,not hate
POLEMIK PENGUNGSI ROHINGYA Baiknya Pak JK Waqafkan Sepertiga hartanya mengingat usia udah Tua apalah arti Harta karena gak dibawa Mati pak🙏 JK terakhir melaporkan harta kekayaanya di KPK pada 31/12/2018 total Rp 900.837.737.179 hampir mencapai Rp 1T https://t.co/s6ydb5v3t4 https://t.co/ZNoSX0dOxY,1737525541266497654_0.jpg,rohingya,hate
USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Tobatlah domba tersesat https://t.co/MtElqRE1qo,1789790921594450208_0.jpg,nonislam,hate
"Perkara musik, Salafi Wahabi jangan merasa paling benar. #tolakintoleransi #tolakradikalisme #tolakterorisme #muhammadiyah #kaltara #kaltarabersatu #kaltarahits #islam #salafi #wahabi #salafiwahabi https://t.co/WnDP1gaE5o",1789354398751264888_0.jpg,muslim,hate
Haluan prabowo.meskipun cina berlakukan ekonomi kapitalis terbatas yg dikontrol penuh oleh Partai Komunis Tiongkok. https://t.co/uiewQgfarz,702057739376197633_1.jpg,cina,not hate
/wp/ ini cewe nya nanti bakal insyaf kah dari matre? https://t.co/M49z1Vhx9x,1677561904208949250_0.jpg,wanita,not hate
"cewe pick me, muka dua, playing victim, ratu drama, sok baik, dan smp akhir film ga ngaku kalo dia jg salah ke nishimiya😤 ada lagi? mvs judul anime di alt yaa https://t.co/lfP9FzkGcH",1750882535956201589_1.jpg,wanita,hate
USER Lagian ava satenya kaga jelas laki apa peyeumpuan 😂😂😂 https://t.co/SyBaIlhTZY,1235219378142142467_0.jpg,wanita,not hate
"Terima kasih adikku USER Meskipun kita bukan saudara kembar, Tapi kita adalah saudara se iman, Seperjuangan., Tetap di barisan pembela kebenaran, utamanya sodara sebangsa, se tanah air, Lanjutkan perjuanganmu. Tuk bela kaum minoritas Semoga Alloh bersama mu. https://t.co/Ck4XKzTHAa",1236654297762238464_0.jpg,nonislam,not hate
"Hidup dijaman apa sih dia, masak pake kayu bakar banget? Lagian ga semua cewek hrs bisa masak kok... Ntar mrk pas nikah lama2 juga bisa masak... Dan cowok jg harus bs masak dan ngurus rumah... Klo mau bicara kesetaraan gender... https://t.co/bfIFBI9nos",1158627842357284864_0.jpg,wanita,hate
Siapa bilang tidak ada hak rakyat yg diambil? Ini bukti kami dapat keluhan dari rakyat yg merasa haknya diambil demi pengungsi Rohingya https://t.co/YLEE8rGX2n,1753258109710262628_1.jpg,rohingya,hate
"curhat -rek, aku sih ga cemburu tp gedeg si mba e ini merasa kayak pcr ku care, baik, mau diajak kemana², deket sama anaknya cewe krna suka digoda, nurut, dll padahal doi ke ponakan yg lain cewe cowo ya emg akrab tp pick me bgt merasa dia spesial di mata doi dan (cont..) https://t.co/ARbTVfEBhy",1753396550653685891_0.jpg,wanita,hate
(just my opinion) kenapa sih orang orang yang mengkampanyekan nikah muda hamil muda yang di Highlight cuman (supaya tidak terhindar dari zinah) KAN ADA PUASA! . lagi pula nikah kan ga cuman soal tentang zinah doang bukan soal yaudah dah yang penting si laki udah punya kerjaan2 https://t.co/7iooPiXNlJ,1260972773767172096_0.jpg,wanita,hate
"Minuman lagibete :( Beli ini karna ada rainbownya,,, Tapi cuma 2 varian doang :( https://t.co/3Wej9zuzej",1664552843100160000_0.jpg,lgbt,hate
"Ditengah maraknya ustad dadakan yg tdk jelas keilmuannya dan habib palsu di negeri ambigu ini, kita sebagai warga bangsa yg msh waras butuh sosok seperti almarhum,""Selamet jalan Buya nama mu dan pencerahanmu akan selalu di tertaptri di hati dan pikiran warga bangsa negeri ini"" https://t.co/y7u9Ti8u6H",1747654507356725681_1.jpg,muslim,not hate
USER rahmat-25-pisces-masih doyan peyeumpuan-eneng mau uang berapa?nanti aa sablonin #JomblonyaLexy https://t.co/sgSN3EAlUW,752151891459477504_0.jpg,wanita,not hate
"USER MUI jg hrs lbh 'Alim dari orang awam, bkn ngehoax, nanti keliru dipakai rujukan, yg keliru bs direvisi. Org2 Syi'ah itu pinter2, sblmnya sdh belajar Sunni, Wahhabi, Radikal buat bom menyerang pemerintahan Thogut. Tahu Syi'ah ya dari sumber Syi'ah sendiri. https://t.co/ACC5V2DiRk",1780251379942220244_0.jpg,muslim,hate
"USER Kalo cuma liat visualnya pasti ngira dia orgnya cool atau jutek gitu padahal orgnya sweet, jamet, reog dan buaya betina https://t.co/LMQOGvS4Iu",1556961293923364864_0.jpg,wanita,not hate
Dia emang homok sih https://t.co/9ImW2wtIwM,1788022565103116797_0.jpg,lgbt,not hate
ttp hijab walau wajah kris10-able😭👍🏼 https://t.co/8KcNEe6V47,1311474872472629248_0.jpg,nonislam,not hate
Jadi semakin jelas ya... Siapa di balik kaum 212.. 🤮 https://t.co/TXtvaYEV60,1598584264387620865_2.jpg,muslim,hate
&gt; kritik fafifu wasweswos agama itu blablabla &gt; pendukung lghdtv+ I prefer not to speak https://t.co/Mw5bbCFhFV,1699324839860081000_0.jpg,lgbt,hate
Lagi dan lagi gw di kirain lesbong😩 ya gw tomboy tapi gw juga dandan kan menor pulaak huaaa masih aja 😩🤣 https://t.co/LRSi2lf1ra,1719391232424915285_0.jpg,lgbt,not hate
"USER USER Dan anehnya lagi, cowok memikat cewek dengan hartanya; tapi gak suka cewek matre. Sedangkan cewek memikat cowok dengan tampilan luarnya; tapi gak suka cowok yang cuma lihat fisik aja. Memang manusia itu secara fundamental udah gublug 😂 https://t.co/tHxcsEKEpd",1635260040079888386_0.jpg,wanita,not hate
Jomok mongmet https://t.co/B8PTQUIyaN,1787672479705756013_1.jpg,lgbt,not hate
USER RAME BANGETT???!!! klian yang takut masang bendera pelangi mending makan versi cat tongue aj nie😍🥵 https://t.co/4cTb3XnQkw,1391652768750850049_0.jpg,lgbt,hate
"USER “Sesat” itu kan opini kamu karena berdasarkan Pancasila, tapi “sesat”nya mereka berdasarkan ajaran agama Kamu non muslim masa menetapkan standard “sesat”nya muslim? Kan gak bisa begitu 🤷🏻‍♀️ https://t.co/SRYqHj1nfS",1332552665406980096_1.jpg,nonislam,hate
USER take beer di tiga t4 berbeda dalam 1 malam 1.bareng temen 2.bareng bpk di rumah 3.rumah tetangga https://t.co/VJ3sclgPnX,1609374175533363202_0.jpg,muslim,not hate
"i love being the nuruls. seblak, es cekek, daster, cardigan, sweater, and kerudung slobokan is loveable. terakhir the nurulsnya lagi nyari kreco aowkaowk. seru. this is anak kabupaten 🫀🖤 https://t.co/IHARHtgaV2",1749675106224500759_0.jpg,wanita,not hate
Pa Verrell ga takut dihujat MUI dan gerombolannya ?..🐫🐪🐫🐪 Take beer kagak nih ?..🙄 https://t.co/ZJOe2ygcPl,1776595454265803196_0.jpg,muslim,hate
"PERHATIKAN KEGAGALAN MEMAHAMI Pemikiran SALAFI-WAHABI ini👇 Bukti JELAS yg dibenci as Syafi'i terhadap ILMU KALAM adalah mereka kaum Ahlul Bid'ah, saat ini seperti WAHABIYYAH, PERHATIKAN penjelasan PARA ULAMA Ahlussunnah 👇 https://t.co/KZ350mtiP6",1782267962596171943_0.jpg,muslim,hate
"Bukti kejahatan Arab Saudi di Yaman, yang mana dibelakangnya ada AS dan antek-anteknya. https://t.co/KQJkXdvuMp",1499311253847748612_3.jpg,arab,hate
"Mjadi Tour Guide mmg tdak mudah. Perlu keahlian, perlu toleransi, perlu menghormati sesama. Ziarah muslim,kristen, sampai budha ke vihara, aku jalani.mpe di tanya sama peserta,agama u apa kok suka bakar dupa? Aku jwab Islam KTP. Semoga Smua Makhluk Berbahagia RAHAYU 🙏🙏🇮🇩 https://t.co/nodL4Ily8t",1767023312029589915_0.jpg,muslim,not hate
"Another day another dikira orang batak kristen. Aku islam ktp, kak. https://t.co/helLPL8VlZ",1690416399070724096_0.jpg,muslim,not hate
"Kibarkan Bendera pelangi, Dokter di Arab ditangkap. 👉juragan Bakso di Depok gimana tuh ngibarin bendera Palestina di Rumahnya...??🙄 https://t.co/QUwX3NaGzH",1426354721942429700_0.jpg,lgbt,hate
[Thread] Komunis Cina itu buatan Elite Global. Tujuan agar semua manusia Tidak Percaya Tuhan lewat Pemerintahan New World Order yg tidak boleh beragama. https://t.co/eyc9hxKa47,1664799773411475458_1.jpg,cina,hate
senang sekali hari ini sudah dapet 2 senjata jomok https://t.co/yhr0ufOeXh,1788568034250220015_0.jpg,lgbt,not hate
Nyari dukungan kaum pelangi kah? Yg jelas ada simbol pelangi di gambar ini https://t.co/MDlXIUFmcn,1730759561454481591_0.jpg,lgbt,hate
"1990,Tabloid Monitor bikin angket 'Tokoh yang dikagumi pembaca',sialnya idola no.11 sebelumnya ada buku Michael Hart tak dipersoalkan karena idola no.1, ini buktikan Kaum Moderat +62 itu PALSU(kecuali Gus Dur) https://t.co/IGNuJATgm2 Ini sesuai dengan sabda Dr. Vivek Kaul MD https://t.co/VH5gFhutHE",1263995780085346304_1.jpg,muslim,hate
Semoga segera disembuhkan bagi kaum betina angel kandanane https://t.co/QWVCeAffKy,1384720540766662657_0.jpg,wanita,hate
"Tertangkap! orang-orang yg berada dibalik nama ""MCA"". Mengaku Islam tp kerjaanya fitnah, hasut, dengki dengan berlindung pada jubah agama dan demokrasi. Sungguh sangat mencoreng nama Islam sendiri! https://t.co/kERER22dSS",968402776211337216_0.jpg,muslim,hate
Buni Yani Ingatkan Kedubes Inggris Kalau LGBT Itu Haram dan Penyakit Usai Kibarkan Bendera Pelangi #HukumPelakuLGBT #HukumPelakuLGBT https://t.co/nMdnVdDFy5,1529602471055990784_0.jpg,lgbt,hate
"Aneh ada orang ngaku keturunan nabi tapi mau ciptakan 1 syawal sendiri 😀😀😀 Keturunan nabi bukan nabi, jadi jangan samakan mereka supaya tidak sesat https://t.co/Ib8FlkIAWT",1650823880179843072_0.jpg,muslim,hate
"Coba ahmadiyah suruh buat agama sendiri tet USER ....gosah bawa² Islam. Pasti aman dan dilindungi. Krn jelas Ahmadiyah itu aliran sesat yg keluar dari Islam. Kalau dia bawa² Islam, dia melakukan penodaan agama thdp Islam https://t.co/Fn7kiYXuwL",1531209141569863680_0.jpg,muslim,hate
LC JOMOK SUDAH KUDAPATKAN https://t.co/EWE6rhAqsA,1789580597159206977_0.jpg,lgbt,not hate
Wahabi salafy mesti tidak tahu perempuan berjenggot karena kelainan hormon? https://t.co/ZyWiZVsCf9,1782019711737487820_0.jpg,muslim,hate
Thn lalu ada si itu dan gangu banget *asli tbh gk suka aja ngepain juga di ke pangung(?) terus yg cewe moto di pangung diem2 dan itu cringed bgt* *ketawan bgt pansos* kalo thn sekarang yang pr nya di backstage dan cuman bangtan doang yg duduk di situ akshsk maaf ya masih salty😓 https://t.co/5jVhUk5kUr,998411130803441665_0.jpg,wanita,hate
Serba serbi keluarga kris10 yang hobinya diundang bukber dan syawalan https://t.co/5vaYHTQIee,1779101215038836744_1.jpg,nonislam,not hate
"Ngaku belajar banyak dari orang² Palestina. Tapi malah niru kelakuan Zionis-Israel. Bangga meniru tindakan menindas, mengusir, mengintimidasi orang² Rohingya (yang mayoritas Muslim). Mereka bukan orang² yang berhak dibenci. Mereka teraniaya oleh Junta Militer Myanmar! https://t.co/e6SG1dhZQv",1740389418345877591_0.jpg,rohingya,hate
"Ini lah akibat datangnya bencana ,gay ternyata tumbuh subur di Republik ini. Jd teringat kisah nabi luth as, ditenggelamkan nya kaum sodom oleh Allah swt. Nauzubillah 😢 Musibah demi musibah menjadi peringatan bagi kita semua. #CianjurBerduka https://t.co/QvhMWCHqWb",1595386749110607872_0.jpg,lgbt,hate
lebaran hari pertama keluarga kris10 di kaki gunung. pic terakhir kabur bentar buat sebrut (krn ga bs sebrut). https://t.co/SJklOjPZne,1778031832124309898_3.jpg,nonislam,not hate
"Pulau Galang Yang wacananya dijadikan opsi tempat menampung pengungsi Rohingya. Sepakat dengan pak Mahfud, pulau Galang Tidak dijadikan tempat penampungan pengungsi. Jangan sampai bikin negara sendiri di sana. https://t.co/Qt93f9MFrm",1736888102596325492_2.jpg,rohingya,hate
"jomok bgt tuh gw liat"" :Vv https://t.co/3U1rO54uB9",1788956411218858147_2.jpg,lgbt,not hate
T t ttaappi aku kan kris10 😭 https://t.co/CPn1jZuG7U,1463007042705051651_0.jpg,nonislam,not hate
USER USER Jika tuduhan kenapa orang Arab menyebutnya dengan wahabi? https://t.co/aza0vUw9Tk,1782746178641367448_0.jpg,muslim,hate
"USER bsar skali nyalimu noel2 kipoper dan kaum lagibete min, moga sehat trs dah ni xwor biar w ga kehilangan lapak ribut warga wkwkwkwk https://t.co/uhstKG6k1K",1702002320433901945_0.jpg,lgbt,not hate
jomok https://t.co/N5dprWNqEY,1789798517919392176_0.jpg,lgbt,not hate
USER Israel enggan kerjasama dengan Umat Islam di Indonesia akan bikin cemburu wahabi https://t.co/qnJUJNj43S,1780145938000134618_0.jpg,muslim,hate
"Ga butuh yang spek lc, ani ani sama tobrut, cuma butuh spek yg kurus begini, pesonanya beda bgt dibanding cewe biasa https://t.co/335VlZ4pAw",1776535712437064064_1.jpg,wanita,not hate
"Pendiri Ahmadiyah mengajak umat manusia kepada kebaikan berdasarkan perintah langsung dari Allah SWT, bukan nyuruh kepada keburukan. Jangan percaya oleh fitnah para ulama buruk yg selalu mengatakan Ahmadiyah sesat. https://t.co/6LkgzpPztI",1420817980309471238_0.jpg,muslim,hate
"Buat Anda yang mendukung LGBT, Ini firman Allah SWT dlm (surat Al a'raaf:80), hukuman untuk kaum sodom,, tidak takut kah kalian dengan adzab Allah??? #TolakLGBT #TolakDanBerantasLGBT https://t.co/W94OvG5u2h",1051519028362141696_0.jpg,lgbt,hate
"USER USER USER Kalau bermodal ketemu lalu muncul hipotesis begitu, maka kalau seperti ini bagaimana? Apa iya kita dikuasai Cina/komunis? https://t.co/pbNXLrmWNl",1627385612969082880_0.jpg,cina,hate
"USER USER Tetep aja, syiah sesat menurut para ulama. Kl pengen khusnul qotimah jangan sesat. Jauhi syiah oke. https://t.co/g0ncIlJGJS",1780212258053968183_0.jpg,muslim,hate
"USER Mau lihat Panglima Divisi BANSEREP Memimpin Operasi Pemulihan Keamanan di Sono,,, seperti Legenda Panglima Trikora Mandala,, Mayjen Soeharto , Komandan Kapal Perang KRI Macan tutul, Yos Soedarso,,,, https://t.co/HTraXf1uyG",1334989667398078464_1.jpg,muslim,hate
Selamatkan anak-anak anda dari kaum pelangi LGBT. https://t.co/65OkTldJBq,1676594244557975555_0.jpg,lgbt,hate
"Habib Jindan bin Novel sebut Bahar Smith bukan keturunan Nabi Muhammad SAW karena bodoh tanpa ilmu membuatnya hina dan kotor. Sesama para habib saja, kehabiban Bahar Smith diragukan. Bukan silsilahnya, tapi perilakunya. https://t.co/0snM2KkdMm https://t.co/3KE9AM0lDd",1647300495634210817_0.jpg,muslim,hate
BREAKING NEWS‼️ Raja Salman Dan Putra Mahkota Muhammad Bin Salman Menganugerahi Sebuah Mahkota Dan Gelar Kehormatan Kepada Anies Baswedan Sebagai King Of Ngibul Di Arab Saudi. https://t.co/qN5UnKcdtD,1674676151099473921_0.jpg,arab,hate
"USER Tuak Beer...... wkwkw NB: Hayo yg mau mutualan follow dong, saya langsung Folback..😄 https://t.co/upynPlAVZc",1448283007974969359_0.jpg,muslim,hate
"love u jametku, buaya betina kuu♥️♥️♥️ meskipun sedikit jamet dan agak buaya, you'll always be my only love ☺️♥️ been missing u badly😔♥️ #유지민은봐라 https://t.co/4dJiw7UCFp",1559446651869478912_3.jpg,wanita,not hate
"kita sering menawarkan sesuatu utk perubahan dunia, meski sebenarnya dunia tak butuh penawaran kita dunia hanya perlu aksi atraksi boleh jgn juga berlebihan krn semua butuh regenerasi yg baik tdk stag layaknya kaum sodom https://t.co/HcjqqLlqMa",1621690858683895809_0.jpg,lgbt,hate
"Setiap kali bicara tentang FPI, Rizieq dan Munarman, saya selalu teringat kekejian propaganda mereka yang membuat nyawa penganut Ahmadiyah melayang karena dianggap sesat.. Alfatihah buat mereka. Dan semoga mereka semua tersenyum melihat pembalasan dunia sdg berjalan skrg.. https://t.co/hlmvG9Bh94",1387748193715187718_0.jpg,muslim,hate
"💚 tuh dengerin, seblak itu makanan cewe yhh!!!🤬🤬😡 https://t.co/oAPJG8IjxD",1706982011267895612_0.jpg,wanita,hate
"USER USER Kok ngomongin bangsa Yaman melulu ♥️, lama-lama ane bisa cemburu loh ♥️ https://t.co/b6YSQ2xPD0",1782905874765500741_0.jpg,arab,not hate
Mungkin begini cara berpikir segelintir kaum mayoritas itu ya... Untungnya banyak dari kaum mayoritas -seperti saya- yg tak begitu. https://t.co/72kWleYTcs,809661856113528832_0.jpg,muslim,hate
"Ikut kajian tapi kok mendukung, emang ada kajian yg mendukung kaum pelangi https://t.co/Pl6jdQcow6",1661266970195664896_0.jpg,lgbt,hate
"USER Sama ini sih, pas SMA temen deket watashi ketos (cewek). Kita always berdua dari SMP, tapi watashi ogah jadi osis. Jadi pansos aja, bercandaaaa https://t.co/azD5VByelj",1600238674628988928_0.jpg,wanita,not hate
"Pulau Galang Yang wacananya dijadikan opsi tempat menampung pengungsi Rohingya. Sepakat dengan pak Mahfud, pulau Galang Tidak dijadikan tempat penampungan pengungsi. Jangan sampai bikin negara sendiri di sana. https://t.co/Qt93f9MFrm",1736888102596325492_0.jpg,rohingya,hate
mrasa cakep ani ani https://t.co/eNxcT753Cy,1776234784488133069_0.jpg,wanita,hate
Jangan salahkan Non Muslim bila akhirnya banyak yg menjadi sesat... https://t.co/Bnu5N4ORem,1090210372211007489_1.jpg,nonislam,hate
"USER Membanggakan diri menganggap dirinya bagus sebagai menhan tapi bicara soal keamanan kecolongan pengungsi rohingya, cyber attack, wilayah perairan masih banyak mafia ikan dari negara asing. Menjamin kemandirian pangan, energi dan air tapi menjamin food estate saja gagal. https://t.co/AKFcYBFsdW",1750710556145950869_0.jpg,rohingya,hate
USER ✅🍺🍺 Take a beer.. Guber dan WaGuber diangkat| dilantik| disumpah oleh Mendagri. Nun Mendagri itu mantan Kapolri masa bisa TKO oleh Guber rasa preman https://t.co/xIV3c43QYX,1648097038859669505_0.jpg,muslim,hate
"Penting untuk dibaca dan disebarluaskan! Hanya Habib Umarsyah yang diberikan tugas oleh PBNU sebagai Panglima Santri. Waspada terhadap yang mengklaim sebagai Panglima Santri ! Panglima Santri yang asli hanya Habib Umarsyah, selain beliau bisa dikatakan Panglima Santri Palsu! https://t.co/wdjcQoSZJp",1689165999944462336_3.jpg,muslim,not hate
Lapisnya lagibete :( https://t.co/7NS54jjgAF,1753421810748846122_0.jpg,lgbt,hate
"Setelah menag mengeluarkan statemen tentang syiah &amp; ahmadiyah, banyak akun2 baru di dunia pertwiteran yg jadi benteng pertahanan opininya. Bingung, apakah ini sudah diatur dengan sedemikian rupa. Foto dibawah adalah fatwa NU tentang ahmadiyah! #ahmadiyah sesat https://t.co/zaRwXRAEj8",1342247886176698368_0.jpg,muslim,hate
"Gara Gara Cowoknya Mau Nikah Dengan Perempuan Lain, Cewek Ini Nekat Masak Pacarnya Jadi Nasi Kebuli https://t.co/d47mg7XzjW https://t.co/GafcYx4vu4",1100650377865715713_0.jpg,wanita,hate
"para kaum minoritas mau teriak-teriak minta cabut SKB 2 Menteri sampe suara habis juga ga akan didengar. harapannya ya para kaum mayoritas yg masih ada toleransi sama kaum minoritas ini, yg saat ini kebanyakan diam. mungkin males ribut, atau ngerasa ga guna juga gakan didengar? https://t.co/HPgjqQs49k",1320634140316717056_0.jpg,muslim,hate
"Pemerintah terkesan diam soal polemik dimasayarakat,pribumi menjadi budak parah habib palsu dg doktrin kualat sesat menyesatkan mereka sudah berani membelokkan sejarah membuat makam palsu sampai kepelosok nusantara. https://t.co/xTgtFutX0K",1778476580869915057_0.jpg,muslim,hate
"Wanita di Arab Saudi tdk perlu mengenakan penutup kepala/ abaya hitam—jubah longgar, panjang penuh yg melambangkan kesalehan Islam—selama pakaian mrk layak &amp; penuh hormat,” kata Pangeran Mohammed, calon raja yg reformis. Lha di Indonesia kok beda? Niru siapa ya? Salam WARAS https://t.co/LxjxiIcYn6",1495706775836061701_0.jpg,muslim,hate
TL gw isinya prono sm jomok kenapa yh https://t.co/PqujXP6fsC,1788576500037583102_0.jpg,lgbt,not hate
Drop pick-up-line modus terbaikmu bestie... w mau latihan jadi buaya betina https://t.co/tBJDQxEdnO,1569408790973526017_0.jpg,wanita,hate
ayo anak anakku yang mau mommy salurin ke om om berduit 🤑🤑 modal ngangkang doang. minat? dm saja yaa https://t.co/kKg1Tqwzuc,1726910818892313020_0.jpg,wanita,not hate
